orderdate,status,customername,country,quantityordered,priceeach,productline,productname
2003-03-18,Shipped,"AV Stores, Co.",UK,42,153.00,Vintage Cars,1917 Grand Touring Sedan
2003-03-18,Shipped,"AV Stores, Co.",UK,32,51.46,Vintage Cars,1911 Ford Town Car
2003-03-18,Shipped,"AV Stores, Co.",UK,33,115.69,Vintage Cars,1932 Model A Ford J-Coupe
2003-03-18,Shipped,"AV Stores, Co.",UK,31,163.69,Vintage Cars,1928 Mercedes-Benz SSK
2003-03-18,Shipped,"AV Stores, Co.",UK,28,81.91,Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport
2003-03-18,Shipped,"AV Stores, Co.",UK,42,62.00,Classic Cars,1957 Ford Thunderbird
2003-03-18,Shipped,"AV Stores, Co.",UK,36,72.02,Classic Cars,1970 Chevy Chevelle SS 454
2003-03-18,Shipped,"AV Stores, Co.",UK,29,43.27,Classic Cars,1966 Shelby Cobra 427 S/C
2003-03-18,Shipped,"AV Stores, Co.",UK,20,28.88,Vintage Cars,1939 Chevrolet Deluxe Coupe
2003-03-18,Shipped,"AV Stores, Co.",UK,39,40.77,Vintage Cars,1938 Cadillac V-16 Presidential Limousine
2003-03-18,Shipped,"AV Stores, Co.",UK,43,82.69,Classic Cars,1949 Jaguar XK 120
2003-03-18,Shipped,"AV Stores, Co.",UK,46,112.74,Classic Cars,1952 Citroen-15CV
2003-03-18,Shipped,"AV Stores, Co.",UK,27,80.47,Classic Cars,1969 Chevrolet Camaro Z28
2003-03-18,Shipped,"AV Stores, Co.",UK,37,96.37,Classic Cars,2002 Chevy Corvette
2003-03-18,Shipped,"AV Stores, Co.",UK,48,35.29,Vintage Cars,1936 Mercedes Benz 500k Roadster
2003-03-25,Shipped,Mini Wheels Co.,USA,33,87.33,Vintage Cars,1937 Lincoln Berline
2003-03-25,Shipped,Mini Wheels Co.,USA,48,48.52,Vintage Cars,1936 Mercedes-Benz 500K Special Roadster
2003-03-25,Shipped,Mini Wheels Co.,USA,28,53.09,Vintage Cars,1934 Ford V8 Coupe
2003-03-25,Shipped,Mini Wheels Co.,USA,43,94.25,Vintage Cars,18th Century Vintage Horse Carriage
2003-03-25,Shipped,Mini Wheels Co.,USA,39,91.27,Vintage Cars,1917 Maxwell Touring Car
2003-03-25,Shipped,Mini Wheels Co.,USA,26,85.70,Vintage Cars,1936 Chrysler Airflow
2003-03-24,Shipped,"Volvo Model Replicas, Co",Sweden,29,197.16,Classic Cars,1952 Alpine Renault 1300
2003-03-24,Shipped,"Volvo Model Replicas, Co",Sweden,23,85.10,Vintage Cars,1913 Ford Model T Speedster
2003-03-26,Shipped,Mini Gifts Distributors Ltd.,USA,21,121.64,Trucks and Buses,1958 Setra Bus
2003-03-26,Shipped,Mini Gifts Distributors Ltd.,USA,49,101.50,Trucks and Buses,1940 Ford Pickup Truck
2003-03-26,Shipped,Mini Gifts Distributors Ltd.,USA,50,43.27,Vintage Cars,1939 Cadillac Limousine
2003-03-26,Shipped,Mini Gifts Distributors Ltd.,USA,23,58.82,Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,31,128.53,Classic Cars,1962 LanciaA Delta 16V
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,39,106.78,Trucks and Buses,1964 Mercedes Tour Bus
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,45,53.48,Trucks and Buses,1926 Ford Fire Engine
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,48,169.34,Classic Cars,1992 Ferrari 360 Spider red
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,41,105.34,Trucks and Buses,1940s Ford truck
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,21,102.23,Trucks and Buses,1962 Volkswagen Microbus
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,24,28.64,Classic Cars,1958 Chevy Corvette Limited Edition
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,32,88.61,Trucks and Buses,1980âs GM Manhattan Express
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,28,43.83,Trucks and Buses,1954 Greyhound Scenicruiser
2003-04-01,Shipped,"La Corne D'abondance, Co.",France,42,82.94,Classic Cars,1982 Camaro Z28
2003-04-04,Shipped,Classic Legends Inc.,USA,46,111.39,Trucks and Buses,1957 Chevy Pickup
2003-04-04,Shipped,Classic Legends Inc.,USA,46,140.81,Classic Cars,1998 Chrysler Plymouth Prowler
2003-04-04,Shipped,Classic Legends Inc.,USA,47,56.64,Classic Cars,1970 Dodge Coronet
2003-04-04,Shipped,Classic Legends Inc.,USA,44,106.45,Classic Cars,1992 Porsche Cayenne Turbo Silver
2003-04-04,Shipped,Classic Legends Inc.,USA,27,100.70,Trucks and Buses,Diamond T620 Semi-Skirted Tanker
2003-04-11,Shipped,Royale Belge,Belgium,27,60.28,Trains,1950's Chicago Surface Lines Streetcar
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,33,195.33,Classic Cars,2001 Ferrari Enzo
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,43,148.06,Classic Cars,1969 Corvair Monza
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,39,173.02,Classic Cars,1969 Ford Falcon
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,26,121.57,Vintage Cars,1903 Ford Model A
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,21,81.68,Trains,Collectable Wooden Train
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,22,122.08,Classic Cars,1970 Triumph Spitfire
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,23,73.73,Vintage Cars,1904 Buick Runabout
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,41,119.20,Ships,18th century schooner
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,21,55.65,Trains,1962 City of Detroit Streetcar
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,38,75.35,Ships,The Mayflower
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,45,89.38,Ships,The Queen Mary
2003-04-16,Shipped,"Dragon Souveniers, Ltd.",Singapore,50,52.42,Ships,Pont Yacht
2003-04-21,Shipped,Enaco Distributors,Spain,36,86.15,Ships,The Titanic
2003-04-28,Shipped,Salzburg Collectables,Austria,46,112.88,Classic Cars,1972 Alfa Romeo GTA
2003-04-28,Shipped,Salzburg Collectables,Austria,43,151.38,Planes,1980s Black Hawk Helicopter
2003-04-28,Shipped,Salzburg Collectables,Austria,21,74.84,Ships,1999 Yamaha Speed Boat
2003-04-28,Shipped,Salzburg Collectables,Austria,27,95.28,Vintage Cars,1941 Chevrolet Special Deluxe Cabriolet
2003-04-28,Shipped,Salzburg Collectables,Austria,41,64.40,Planes,1900s Vintage Bi-Plane
2003-04-28,Shipped,Salzburg Collectables,Austria,35,72.58,Vintage Cars,1912 Ford Model T Delivery Wagon
2003-04-28,Shipped,Salzburg Collectables,Austria,20,63.12,Vintage Cars,1937 Horch 930V Limousine
2003-04-28,Shipped,Salzburg Collectables,Austria,35,82.18,Vintage Cars,1940 Ford Delivery Sedan
2003-04-28,Shipped,Salzburg Collectables,Austria,28,62.10,Planes,Corsair F4U ( Bird Cage)
2003-04-28,Shipped,Salzburg Collectables,Austria,25,57.34,Ships,The Schooner Bluenose
2003-04-28,Shipped,Salzburg Collectables,Austria,29,74.23,Ships,HMS Bounty
2003-04-28,Shipped,Salzburg Collectables,Austria,38,67.22,Ships,The USS Constitution Ship
2003-04-28,Shipped,Salzburg Collectables,Austria,26,63.67,Planes,American Airlines: MD-11S
2003-04-28,Shipped,Salzburg Collectables,Austria,28,40.22,Planes,Boeing X-32A JSF
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,29,118.94,Motorcycles,1996 Moto Guzzi 1100i
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,46,158.80,Motorcycles,2003 Harley-Davidson Eagle Drag Bike
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,29,82.79,Planes,P-51-D Mustang
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,46,57.54,Motorcycles,1936 Harley Davidson El Knucklehead
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,35,110.45,Motorcycles,1997 BMW R 1100 S
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,39,93.01,Planes,1928 British Royal Navy Airplane
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,34,72.36,Motorcycles,1960 BSA Gold Star DBD34
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,29,71.73,Planes,1900s Vintage Tri-Plane
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,22,94.90,Motorcycles,1997 BMW F650 ST
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,29,68.79,Vintage Cars,1928 Ford Phaeton Deluxe
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,49,41.46,Vintage Cars,1930 Buick Marquette Phaeton
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,47,91.34,Planes,American Airlines: B767-300
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,24,81.77,Planes,America West Airlines B757-200
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,24,106.79,Planes,ATA: B757-300
2003-04-29,Shipped,"Australian Collectors, Co.",Australia,43,72.00,Planes,F/A 18 Hornet 1/72
2003-05-07,Shipped,Reims Collectables,France,34,86.13,Motorcycles,1969 Harley Davidson Ultimate Chopper
2003-05-07,Shipped,Reims Collectables,France,50,126.52,Motorcycles,2002 Suzuki XREO
2003-05-07,Shipped,Reims Collectables,France,32,58.18,Motorcycles,1982 Ducati 900 Monster
2003-05-07,Shipped,Reims Collectables,France,25,95.93,Motorcycles,1974 Ducati 350 Mk3 Desmo
2003-05-07,Shipped,Reims Collectables,France,44,72.41,Motorcycles,2002 Yamaha YZR M1
2003-05-08,Shipped,Marseille Mini Autos,France,42,155.66,Classic Cars,1968 Ford Mustang
2003-05-08,Shipped,Marseille Mini Autos,France,37,113.92,Classic Cars,1968 Dodge Charger
2003-05-08,Shipped,Marseille Mini Autos,France,32,65.44,Classic Cars,1970 Plymouth Hemi Cuda
2003-05-08,Shipped,Marseille Mini Autos,France,20,104.80,Classic Cars,1969 Dodge Charger
2003-05-08,Shipped,Marseille Mini Autos,France,34,114.65,Classic Cars,1993 Mazda RX-7
2003-05-08,Shipped,Marseille Mini Autos,France,43,62.37,Classic Cars,1948 Porsche 356-A Roadster
2003-05-08,Shipped,Marseille Mini Autos,France,31,113.80,Classic Cars,1995 Honda Civic
2003-05-08,Shipped,Marseille Mini Autos,France,25,137.17,Classic Cars,1992 Ferrari 360 Spider red
2003-05-08,Shipped,Marseille Mini Autos,France,21,69.15,Classic Cars,1969 Dodge Super Bee
2003-05-08,Shipped,Marseille Mini Autos,France,21,133.76,Classic Cars,1976 Ford Gran Torino
2003-05-08,Shipped,Marseille Mini Autos,France,35,59.06,Motorcycles,1957 Vespa GS150
2003-05-08,Shipped,Marseille Mini Autos,France,28,145.82,Classic Cars,1957 Corvette Convertible
2003-05-08,Shipped,Marseille Mini Autos,France,39,34.74,Classic Cars,1982 Lamborghini Diablo
2003-05-08,Shipped,Marseille Mini Autos,France,34,50.82,Classic Cars,1971 Alpine Renault 1600s
2003-05-08,Shipped,Marseille Mini Autos,France,43,136.22,Classic Cars,1956 Porsche 356A Coupe
2003-05-08,Shipped,Marseille Mini Autos,France,29,67.10,Classic Cars,1961 Chevrolet Impala
2003-05-08,Shipped,Marseille Mini Autos,France,31,33.79,Motorcycles,1982 Ducati 996 R
2003-05-20,Shipped,Atelier graphique,France,26,120.71,Classic Cars,1965 Aston Martin DB5
2003-05-20,Shipped,Atelier graphique,France,46,114.84,Classic Cars,1999 Indy 500 Monte Carlo SS
2003-05-20,Shipped,Atelier graphique,France,34,117.26,Classic Cars,1948 Porsche Type 356 Roadster
2003-05-20,Shipped,Atelier graphique,France,50,43.27,Classic Cars,1966 Shelby Cobra 427 S/C
2003-05-21,Shipped,Signal Gift Stores,USA,21,153.00,Vintage Cars,1917 Grand Touring Sedan
2003-05-21,Shipped,Signal Gift Stores,USA,42,58.12,Vintage Cars,1911 Ford Town Car
2003-05-21,Shipped,Signal Gift Stores,USA,42,111.87,Vintage Cars,1932 Model A Ford J-Coupe
2003-05-21,Shipped,Signal Gift Stores,USA,36,75.46,Vintage Cars,1932 Alfa Romeo 8C2300 Spider Sport
2003-05-21,Shipped,Signal Gift Stores,USA,23,66.28,Classic Cars,1957 Ford Thunderbird
2003-05-21,Shipped,Signal Gift Stores,USA,22,62.47,Classic Cars,1970 Chevy Chevelle SS 454
2003-05-21,Shipped,Signal Gift Stores,USA,45,30.53,Vintage Cars,1939 Chevrolet Deluxe Coupe
2003-05-21,Shipped,Signal Gift Stores,USA,22,36.29,Vintage Cars,1938 Cadillac V-16 Presidential Limousine
2003-05-21,Shipped,Signal Gift Stores,USA,32,74.51,Classic Cars,1949 Jaguar XK 120
2003-05-21,Shipped,Signal Gift Stores,USA,25,93.95,Classic Cars,1952 Citroen-15CV
2003-05-21,Shipped,Signal Gift Stores,USA,49,76.19,Classic Cars,1969 Chevrolet Camaro Z28
2003-05-21,Shipped,Signal Gift Stores,USA,43,101.73,Classic Cars,2002 Chevy Corvette
2003-05-21,Shipped,Signal Gift Stores,USA,46,36.11,Vintage Cars,1936 Mercedes Benz 500k Roadster
2003-05-21,Shipped,"Australian Collectors, Co.",Australia,32,89.38,Vintage Cars,1937 Lincoln Berline
2003-05-21,Shipped,"Australian Collectors, Co.",Australia,34,138.38,Vintage Cars,1928 Mercedes-Benz SSK
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,38,205.73,Classic Cars,1952 Alpine Renault 1300
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,22,122.62,Classic Cars,1962 LanciaA Delta 16V
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,21,135.30,Trucks and Buses,1958 Setra Bus
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,38,116.67,Trucks and Buses,1940 Ford Pickup Truck
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,42,51.21,Vintage Cars,1936 Mercedes-Benz 500K Special Roadster
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,43,51.05,Trucks and Buses,1926 Ford Fire Engine
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,31,93.21,Vintage Cars,1913 Ford Model T Speedster
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,46,61.84,Vintage Cars,1934 Ford V8 Coupe
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,30,93.20,Vintage Cars,18th Century Vintage Horse Carriage
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,38,94.25,Vintage Cars,1917 Maxwell Touring Car
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,50,102.92,Trucks and Buses,1940s Ford truck
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,43,47.29,Vintage Cars,1939 Cadillac Limousine
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,27,122.68,Trucks and Buses,1962 Volkswagen Microbus
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,34,83.76,Vintage Cars,1936 Chrysler Airflow
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,43,82.83,Trucks and Buses,1980âs GM Manhattan Express
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,26,62.05,Trucks and Buses,1996 Peterbilt 379 Stake Bed with Outrigger
2003-05-28,Shipped,"Corrida Auto Replicas, Ltd",Spain,45,97.10,Classic Cars,1982 Camaro Z28
2003-06-03,Shipped,Muscle Machine Inc,USA,46,193.25,Classic Cars,2001 Ferrari Enzo
2003-06-03,Shipped,Muscle Machine Inc,USA,46,140.50,Classic Cars,1969 Corvair Monza
2003-06-03,Shipped,Muscle Machine Inc,USA,42,169.56,Classic Cars,1969 Ford Falcon
2003-06-03,Shipped,Muscle Machine Inc,USA,24,100.73,Trucks and Buses,1957 Chevy Pickup
2003-06-03,Shipped,Muscle Machine Inc,USA,45,140.81,Classic Cars,1998 Chrysler Plymouth Prowler
2003-06-03,Shipped,Muscle Machine Inc,USA,45,114.14,Trucks and Buses,1964 Mercedes Tour Bus
2003-06-03,Shipped,Muscle Machine Inc,USA,22,149.02,Classic Cars,1992 Ferrari 360 Spider red
